Year,Month,"Local consumption-Industrial, commercial and mining (Million kilowatt-hours)",Local consumption- Domestic and public lighting (Million kilowatt-hours),Exports (Million kilowatt-hours),Losses (Million kilowatt-hours)
2018,Jan,9390.10,2455.80,109.8,1200.40
2018,Feb,8561.40,2530.50,101.5,903.80
2018,Mar,9659.30,2584.80,103.8,1681.10
2018,Apr,9340.80,2677.80,102,1484.20
2018,May,9525.90,2742.10,142.3,1524.40
2018,Jun,9090.50,2627.80,141.7,1487.70
2018,Jul,9804.80,2745.10,138.7,1563.60
2018,Aug,9839.90,2683.90,139.5,1679.50
2018,Sep,9395.30,2563.80,137.7,1262.30
2018,Oct,9940.00,2584.40,133,1424.90
2018,Nov,9530.10,2538.50,126.2,1356.20
2018,Dec,9695.10,2680.30,132.4,1222.80
2019,Jan,9806.60,2744.40,146.3,1411.50
2019,Feb,8762.50,2804.40,127.7,922.20
2019,Mar,10001.90,2748.50,146.3,1735.60
2019,Apr,9984.80,2959.00,145.9,1282.00
2019,May,9955.30,2831.60,144.1,1763.20
2019,Jun,9325.60,2832.30,134.8,1254.30
2019,Jul,9924.80,2842.00,144.6,1590.20
2019,Aug,9885.70,2844.40,154.7,1471.90
2019,Sep,9624.80,2734.70,148.3,1460.10
2019,Oct,9867.00,2677.50,143,1416.60
2019,Nov,9579.10,2641.80,131.1,1375.40
2019,Dec,9650.80,2725.00,130.7,1304.70
2020,Jan,9794.40,2869.30,129.7,1402.70
2020,Feb,9381.80,2868.10,145.7,1161.30
2020,Mar,8809.60,2889.70,148.8,1674.30
2020,Apr,7209.30,3139.90,143.9,1192.30
2020,May,7623.10,3947.60,138.6,1553.90
2020,Jun,8733.50,3017.80,125.7,1413.30
2020,Jul,9376.70,3004.70,128.3,1357.20
2020,Aug,9553.30,2989.80,140.4,1578.90
2020,Sep,9534.60,2901.60,124.3,1166.40
2020,Oct,9784.70,2973.90,129.3,1403.40
2020,Nov,9179.30,2943.50,116.5,1195.50
2020,Dec,9410.60,2820.60,99.3,1518.80
2021,Jan,9036.80,3052.00,115.1,1209.50
2021,Feb,8427.70,3108.80,116.8,1004.90
2021,Mar,9800.40,3089.00,106,1683.50
2021,Apr,9514.70,3135.90,108.3,1425.60
2021,May,9162.20,3447.20,106.6,1569.20
2021,Jun,7735.70,3312.30,113.7,1367.90
2021,Jul,8102.20,3431.60,91.1,1450.70
2021,Aug,8660.70,3286.70,73,1412.10
2021,Sep,9124.10,3254.90,57,1215.50
2021,Oct,9822.10,3192.30,61.4,1632.90
2021,Nov,9617.70,3020.40,58.4,1276.50
2021,Dec,9838.60,3046.80,58.5,1396.10
2022,Jan,9845.60,3149.10,58.3,1268.40
2022,Feb,8879.70,3077.80,58.2,818.10
2022,Mar,10104.80,3281.80,62.6,1326.90
2022,Apr,9699.10,3312.90,59.9,1386.20
2022,May,9594.50,3342.20,60.3,1669.80
